,Price,Year,Month,Day,MA_7,MA_30,MA_90,Daily_Change,Pct_Change
2015-01-02,56.41999816894531,2015,1,4,,,,,
2015-01-03,56.41999816894531,2015,1,5,,,,0.0,0.0
2015-01-04,56.41999816894531,2015,1,6,,,,0.0,0.0
2015-01-05,53.11000061035156,2015,1,0,,,,-3.30999755859375,-5.866709794428237
2015-01-06,51.09999847412109,2015,1,1,,,,-2.010002136230476,-3.784601982924307
2015-01-07,51.150001525878906,2015,1,2,,,,0.050003051757819605,0.09785333317209322
2015-01-08,50.959999084472656,2015,1,3,53.65428488595145,,,-0.19000244140625,-0.3714612624402758
2015-01-09,50.11000061035156,2015,1,4,52.7528566632952,,,-0.8499984741210938,-1.6679719179588548
2015-01-10,50.11000061035156,2015,1,5,51.85142844063895,,,0.0,0.0
2015-01-11,50.11000061035156,2015,1,6,50.9500002179827,,,0.0,0.0
2015-01-12,47.43000030517578,2015,1,0,50.13857160295759,,,-2.6800003051757812,-5.348234429320986
2015-01-13,46.59000015258789,2015,1,1,49.49428612845285,,,-0.8400001525878906,-1.7710313033589165
2015-01-14,48.68999862670898,2015,1,2,49.142857142857146,,,2.0999984741210866,4.507401732653649
2015-01-15,47.66999816894531,2015,1,3,48.672857012067524,,,-1.0200004577636648,-2.094887012800495
2015-01-16,47.68999862670898,2015,1,4,48.32714244297573,,,0.02000045776366477,0.04195606992218881
2015-01-17,47.68999862670898,2015,1,5,47.98142787388393,,,0.0,0.0
2015-01-18,47.68999862670898,2015,1,6,47.63571330479213,,,0.0,0.0
2015-01-19,47.68999862670898,2015,1,0,47.67285592215401,,,0.0,0.0
2015-01-20,47.9900016784668,2015,1,1,47.87285614013671,,,0.3000030517578196,0.6290691138535642
2015-01-21,49.02999877929688,2015,1,2,47.92142759050641,,,1.0399971008300852,2.1671120326230975
2015-01-22,48.52000045776367,2015,1,3,48.04285648890903,,,-0.5099983215332102,-1.0401760845006547
2015-01-23,48.790000915527344,2015,1,4,48.19999967302594,,,0.2700004577636719,0.5564724963238676
2015-01-24,48.790000915527344,2015,1,5,48.357142857142854,,,0.0,0.0
2015-01-25,48.790000915527344,2015,1,6,48.514286041259766,,,0.0,0.0
2015-01-26,48.15999984741211,2015,1,0,48.58142907278879,,,-0.6300010681152344,-1.291250371579189
2015-01-27,49.59999847412109,2015,1,1,48.811428615025115,,,1.4399986267089773,2.9900303805469264
2015-01-28,48.470001220703125,2015,1,2,48.731428963797434,,,-1.1299972534179616,-2.2782203390742883
2015-01-29,49.130001068115234,2015,1,3,48.81857190813337,,,0.6599998474121094,1.361666661419858
2015-01-30,52.9900016784668,2015,1,4,49.418572017124724,,,3.8600006103515625,7.856707768029447
2015-01-31,52.9900016784668,2015,1,5,50.01857212611607,50.00999984741211,,0.0,0.0
2015-02-01,52.9900016784668,2015,2,6,50.61857223510742,49.895666631062824,,0.0,0.0
2015-02-02,54.75,2015,2,0,51.56000082833426,49.840000025431316,,1.7599983215332031,3.3213781199942893
2015-02-03,57.90999984741211,2015,2,1,52.74714388166155,49.88966674804688,,3.1599998474121094,5.771689219017562
2015-02-04,54.15999984741211,2015,2,2,53.56000082833426,49.92466672261556,,-3.75,-6.475565549785756
2015-02-05,56.56999969482422,2015,2,3,54.62285777500698,50.107000096639,,2.4099998474121094,4.44977816507004
2015-02-06,57.79999923706055,2015,2,4,55.31000028337751,50.32866668701172,,1.2299995422363281,2.1742965332716135
2015-02-07,57.79999923706055,2015,2,5,55.99714279174805,50.556666692097984,,0.0,0.0
2015-02-08,57.79999923706055,2015,2,6,56.68428530011858,50.81299997965495,,0.0,0.0
2015-02-09,58.34000015258789,2015,2,0,57.197142464774,51.087333297729494,,0.5400009155273438,0.9342576516525369
2015-02-10,56.43000030517578,2015,2,1,56.985713958740234,51.297999954223634,,-1.9099998474121094,-3.273911282853137
2015-02-11,54.65999984741211,2015,2,2,57.057142530168804,51.53899993896484,,-1.7700004577636719,-3.13663024666212
2015-02-12,57.04999923706055,2015,2,3,57.12571389334543,51.88766657511393,,2.3899993896484375,4.372483344896305
2015-02-13,57.38999938964844,2015,2,4,57.067142486572266,52.177666600545244,,0.3400001525878906,0.5959687241626099
2015-02-14,57.38999938964844,2015,2,5,57.008571079799104,52.50166664123535,,0.0,0.0
2015-02-15,57.38999938964844,2015,2,6,56.94999967302595,52.825,,0.0,0.0
2015-02-16,57.38999938964844,2015,2,0,56.81428527832031,53.148333358764646,,0.0,0.0
2015-02-17,62.52999877929688,2015,2,1,57.685713631766184,53.64300003051758,,5.139999389648445,8.956263189254464
2015-02-18,60.52999877929688,2015,2,2,58.524284907749724,54.07100003560384,,-2.0,-3.1984647993663184
2015-02-19,60.209999084472656,2015,2,3,58.975713457380024,54.4783332824707,,-0.31999969482422586,-0.5286629791469211
2015-02-20,60.220001220703125,2015,2,4,59.379999433244976,54.85133336385091,,0.01000213623046875,0.01661208500673972
2015-02-21,60.220001220703125,2015,2,5,59.784285409109934,55.241333389282225,,0.0,0.0
2015-02-22,60.220001220703125,2015,2,6,60.188571384974885,55.62233339945475,,0.0,0.0
2015-02-23,58.900001525878906,2015,2,0,60.40428597586496,55.959333419799805,,-1.3199996948242188,-2.19196225185464
2015-02-24,58.65999984741211,2015,2,1,59.8514289855957,56.288333384195965,,-0.24000167846679688,-0.40747312775764044
2015-02-25,61.630001068115234,2015,2,2,60.008572169712615,56.73733342488607,,2.970001220703125,5.063077443622177
2015-02-26,60.04999923706055,2015,2,3,59.98571504865374,57.085666783650716,,-1.5800018310546875,-2.563689442919892
