ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-02,50.64036401510391,42.707129147860904,55.58501365770557,50.64036401510391,50.64036401510391,-1.659286258813427,-1.659286258813427,-1.659286258813427,0.09792897936107889,0.09792897936107889,0.09792897936107889,-1.757215238174506,-1.757215238174506,-1.757215238174506,0.0,0.0,0.0,48.98107775629049
2015-01-03,50.759208356436496,42.40169014705837,55.24936804118439,50.759208356436496,50.759208356436496,-1.5871467340403738,-1.5871467340403738,-1.5871467340403738,0.09051077938256712,0.09051077938256712,0.09051077938256712,-1.677657513422941,-1.677657513422941,-1.677657513422941,0.0,0.0,0.0,49.17206162239612
2015-01-04,50.878052697769085,42.700403332891696,55.738027119044816,50.878052697769085,50.878052697769085,-1.5148577996091683,-1.5148577996091683,-1.5148577996091683,0.08290859841445512,0.08290859841445512,0.08290859841445512,-1.5977663980236236,-1.5977663980236236,-1.5977663980236236,0.0,0.0,0.0,49.36319489815992
2015-01-05,50.996897039101675,43.236673796095275,55.50336061652599,50.996897039101675,50.996897039101675,-1.5561800379350135,-1.5561800379350135,-1.5561800379350135,-0.03852961051552692,-0.03852961051552692,-0.03852961051552692,-1.5176504274194866,-1.5176504274194866,-1.5176504274194866,0.0,0.0,0.0,49.44071700116666
2015-01-06,51.115741380434265,43.12528988390356,56.46087863092802,51.115741380434265,51.115741380434265,-1.5289687883591403,-1.5289687883591403,-1.5289687883591403,-0.09144544768236183,-0.09144544768236183,-0.09144544768236183,-1.4375233406767784,-1.4375233406767784,-1.4375233406767784,0.0,0.0,0.0,49.58677259207513
2015-01-07,51.23458572176685,43.803030670363434,55.84385153450074,51.23458572176685,51.23458572176685,-1.4626166043476365,-1.4626166043476365,-1.4626166043476365,-0.10490619201533938,-0.10490619201533938,-0.10490619201533938,-1.357710412332297,-1.357710412332297,-1.357710412332297,0.0,0.0,0.0,49.77196911741921
2015-01-08,51.35343006309943,43.67238282954275,56.423263405677844,51.35343006309943,51.35343006309943,-1.3151168153253514,-1.3151168153253514,-1.3151168153253514,-0.03646710694473379,-0.03646710694473379,-0.03646710694473379,-1.2786497083806176,-1.2786497083806176,-1.2786497083806176,0.0,0.0,0.0,50.03831324777408
2015-01-09,51.47227440443203,44.39515083332517,56.09045215913711,51.47227440443203,51.47227440443203,-1.1029590520109605,-1.1029590520109605,-1.1029590520109605,0.0979289793610724,0.0979289793610724,0.0979289793610724,-1.200888031372033,-1.200888031372033,-1.200888031372033,0.0,0.0,0.0,50.36931535242107
2015-01-10,51.59111874576461,44.555614543714775,56.488878279153425,51.59111874576461,51.59111874576461,-1.0345607229752565,-1.0345607229752565,-1.0345607229752565,0.09051077938256964,0.09051077938256964,0.09051077938256964,-1.1250715023578262,-1.1250715023578262,-1.1250715023578262,0.0,0.0,0.0,50.55655802278935
2015-01-11,51.7099630870972,44.591131842306,57.22710474364109,51.7099630870972,51.7099630870972,-0.9690223176716437,-0.9690223176716437,-0.9690223176716437,0.08290859841438736,0.08290859841438736,0.08290859841438736,-1.051930916086031,-1.051930916086031,-1.051930916086031,0.0,0.0,0.0,50.740940769425556
2015-01-12,51.82880742842978,44.7154223752415,57.30432291574957,51.82880742842978,51.82880742842978,-1.02079180489001,-1.02079180489001,-1.02079180489001,-0.038529610515499135,-0.038529610515499135,-0.038529610515499135,-0.9822621943745107,-0.9822621943745107,-0.9822621943745107,0.0,0.0,0.0,50.808015623539774
2015-01-13,51.94765176976237,44.87342423860428,56.971563767432045,51.94765176976237,51.94765176976237,-1.0083478926113352,-1.0083478926113352,-1.0083478926113352,-0.09144544768243403,-0.09144544768243403,-0.09144544768243403,-0.9169024449289014,-0.9169024449289014,-0.9169024449289014,0.0,0.0,0.0,50.93930387715104
